num_of_features,accuracy,sensitivity,specificity
190,0.7767863247863247,0.37321428571428567,0.9345029239766083
190,0.7686552706552707,0.3571428571428571,0.9289473684210525
190,0.7653903133903134,0.36249999999999993,0.9228070175438597
190,0.7907293447293446,0.43571428571428567,0.9301169590643275
190,0.7732592592592592,0.38571428571428573,0.9239766081871345
190,0.7576980056980056,0.3482142857142857,0.9184210526315789
190,0.7745868945868946,0.3803571428571428,0.9289473684210525
190,0.7894131054131054,0.43035714285714277,0.92953216374269
190,0.789094017094017,0.43392857142857144,0.9292397660818713
190,0.772974358974359,0.36785714285714277,0.9301169590643275
190,0.7812364672364672,0.38928571428571423,0.9345029239766083
190,0.7785868945868946,0.37499999999999994,0.9353801169590643
190,0.7775441595441596,0.39999999999999997,0.9242690058479532
190,0.7895441595441596,0.4035714285714286,0.9400584795321638
190,0.7847635327635327,0.4196428571428571,0.9289473684210525
190,0.7813903133903134,0.3910714285714285,0.934795321637427
190,0.7807977207977208,0.3875,0.9347953216374268
190,0.7766552706552706,0.3875,0.9292397660818713
190,0.7813789173789173,0.3767857142857143,0.9400584795321638
190,0.8012592592592593,0.43035714285714277,0.9461988304093568
190,0.7732478632478632,0.3607142857142857,0.9350877192982455
190,0.7766780626780626,0.39999999999999997,0.9242690058479532
190,0.773094017094017,0.37499999999999994,0.92953216374269
190,0.7689515669515669,0.3714285714285714,0.9236842105263158
190,0.7827407407407407,0.375,0.9412280701754385
190,0.7815441595441596,0.38928571428571423,0.9350877192982457
190,0.7842051282051281,0.3857142857142857,0.9394736842105262
190,0.7807977207977207,0.37321428571428567,0.9400584795321638
190,0.7547521367521367,0.3142857142857142,0.9251461988304094
190,0.770005698005698,0.3767857142857142,0.9242690058479532
190,0.7655327635327634,0.3660714285714285,0.9228070175438596
190,0.7853789173789173,0.40714285714285714,0.9342105263157894
190,0.7812478632478632,0.4035714285714286,0.9292397660818713
190,0.7702905982905983,0.37857142857142856,0.923391812865497
190,0.777982905982906,0.4035714285714286,0.9242690058479532
190,0.7799202279202279,0.3928571428571429,0.9289473684210527
190,0.7797663817663818,0.38035714285714284,0.934795321637427
190,0.7899943019943019,0.4214285714285714,0.9350877192982457
190,0.7885014245014245,0.3875,0.9450292397660818
190,0.7852478632478632,0.3767857142857142,0.9453216374269007
190,0.7782905982905983,0.3785714285714285,0.934795321637427
190,0.7744330484330484,0.37857142857142856,0.9298245614035088
190,0.7933789173789173,0.43571428571428567,0.934795321637427
190,0.7659943019943019,0.37499999999999994,0.9184210526315789
190,0.7653789173789173,0.3803571428571428,0.9181286549707602
190,0.7896866096866096,0.3803571428571428,0.9514619883040936
190,0.7721937321937322,0.37321428571428567,0.9286549707602341
190,0.7821367521367522,0.39107142857142857,0.9350877192982457
190,0.769105413105413,0.41607142857142854,0.9067251461988303
190,0.7685128205128204,0.3857142857142857,0.9181286549707602
190,0.7648205128205128,0.40178571428571425,0.9067251461988304
190,0.793105413105413,0.4035714285714286,0.9453216374269007
190,0.7888091168091168,0.41607142857142854,0.9350877192982457
190,0.7766438746438746,0.3964285714285714,0.9242690058479532
190,0.7658290598290598,0.36249999999999993,0.9236842105263158
190,0.773994301994302,0.3821428571428571,0.9289473684210527
190,0.7671908831908831,0.35357142857142854,0.92953216374269
190,0.7845014245014245,0.42857142857142855,0.923391812865497
190,0.7852592592592592,0.4035714285714286,0.9347953216374268
